guid,title,label
ynat-v1_train_00001,어버이날 맑다가 흐려져…남부지방 옅은 황사,3
ynat-v1_train_00002,내년부터 국가RD 평가 때 논문건수는 반영 않는다,2
ynat-v1_train_00005,야외서 생방송 하세요…액션캠 전용 요금제 잇따라,0
ynat-v1_train_00009,베트남 경제 고성장 지속…2분기 GDP 6.71% 성장,4
ynat-v1_train_00010,그리스서 한국전 참전 기념식…참전용사 한반도 평화 기원,4
ynat-v1_train_00011,정진석 이정현 당현실 냉정하게 봐야…물러나는게 좋다종합,6
ynat-v1_train_00013,황재균 쐐기타…kt 갈 길 바쁜 삼성에 고춧가루,5
ynat-v1_train_00015,LGU＋ 1분기 영업익 1천706억원…마케팅 비용 감소종합,1
ynat-v1_train_00017,방심위 강릉서 고성 산불현장처럼 보도한 KBS 관계자 징계,2
ynat-v1_train_00019,일본 예산팽창에 재정건전성 우려…내년에 장기채무 GDP 2배,4
ynat-v1_train_00023,국내 발간 나노분야 학술지 나노 컨버전스 SCIE 등재,0
ynat-v1_train_00024,5G 상용화 행정절차 완료…이통3사 내일 동시 전파 발사,0
ynat-v1_train_00028,손흥민 더 승부욕 갖고 거칠게 해야…나부터 반성,5
ynat-v1_train_00029,SK텔레콤안양시 모빌리티·스마트시티 조성 업무협약,2
ynat-v1_train_00033,다시 포효한 황의조 3년 만의 A매치 골 집중력 유지한...,5
ynat-v1_train_00034,최근 5년간 공무원시험 응시 127만명…경제비용 수조원,2
ynat-v1_train_00035,트럼프 의회서 장벽예산 합의할 가능성 50% 이하,4
ynat-v1_train_00036,프리미어12 보러 온 MLB 최지만 저도 뛰고 싶었지만,5
ynat-v1_train_00039,어빙 NBA 통산 1만 점…보스턴 동부 1위 토론토 제압...,5
ynat-v1_train_00041,라바리니호 아르헨에 설욕할까…이재영 동료 프레스코 경계령,5
ynat-v1_train_00042,제임스 떠난 NBA 클리블랜드 1승 10패…전체 꼴찌,4
ynat-v1_train_00044,게시판 윌림 SKT 누구 플레이 개발 공모전서 최우수상,0
ynat-v1_train_00045,정성훈 15년 만에 친정 KIA행…기회 준 구단에 감사,5
ynat-v1_train_00046,전국 곳곳에 저녁까지 비·강한 바람…낮 최고 27도,3
ynat-v1_train_00048,8월 시중통화량 전년동기비 6.8%↑…증가세 확대,1
ynat-v1_train_00050,애플 퀀텀닷OLED 결합 차세대 디스플레이 특허출원,0
ynat-v1_train_00051,터키 에르도안 자국 외교관 겨냥 테러 비판…악의적 공격,4
ynat-v1_train_00053,CNN 트럼프 내부고발자 상·하원 정보위 출석 동의,4
ynat-v1_train_00055,GSMA 통신사 인수합병 때 당국의 더딘 심사로 사업에 지장,2
ynat-v1_train_00058,황사·미세먼지 기승 잿빛 주말…나들이객 줄어,3
ynat-v1_train_00061,석유왕국 사우디 태양광·풍력 발전 중심지 될 것,4
ynat-v1_train_00063,2022 AG 개최지 중국 항저우로의 초대,5
ynat-v1_train_00066,MLB 채프먼·헤이더 올해의 구원투수상 수상,5
ynat-v1_train_00067,눈물 흘린 MVP 말컹 2부 리거 향한 의구심 떨치려 노...,5
ynat-v1_train_00068,관훈클럽 65대 임원진 선임…11일 창립 61주년 기념식,2
ynat-v1_train_00070,강풍·영하권 날씨…오후부터 비까지 내려,3
ynat-v1_train_00071,커지는 중국 기업 채무불이행 리스크…올해 또 최고치,4
ynat-v1_train_00073,태풍 솔릭 접근…오후부터 제주 항공기 이착륙 어려울 듯,3
ynat-v1_train_00074,분리공시 놓고 이통시장 분란 조짐…LG전자 판 흔들기 통할까,1
ynat-v1_train_00075,MLB 파울볼 사고 2012년 이후 800건 이상 발생,5
ynat-v1_train_00076,금값 하락에 금펀드 수익률 추락…최근 한달 4.86%,1
ynat-v1_train_00077,작년 세탁기 분야 미국특허 LG전자·삼성전자 1∼2위,1
ynat-v1_train_00079,게시판 KISA 제17회 KICT 정보보호대상 21일까지 접수,2
ynat-v1_train_00081,명성티엔에스·삼성스팩2호 코스닥 신규상장,1
ynat-v1_train_00082,경주한수원·대전코레일 내셔널축구선수권 4강 합류,5
ynat-v1_train_00084,국민의당 부산시당 발기인 대회 열려…26일 창당대회,6
ynat-v1_train_00085,메시 통산 4번째 유럽 골든슈 최종 확정…호날두와 동률,4
ynat-v1_train_00087,하나금투 내년 코스피 1900∼2400선 등락,1
ynat-v1_train_00088,더민주 원내대표 경선 6명 출마…내달 4일 선출종합,6
ynat-v1_train_00089,은행 점포 폐쇄때 고객영향 평가한다…불편 최소화대책 유도,2
ynat-v1_train_00090,프로농구 SK 현대모비스에 시즌 첫 패 안기고 2연승종합,5
ynat-v1_train_00091,아시안게임 이승우 멀티골 한국 축구 베트남에 3...,5
ynat-v1_train_00093,CNBC 미·중 무역협상 3월1일 시한 연장 가능성,4
ynat-v1_train_00097,주요국 지도자 연봉은…오바마 4억4천만원·시진핑 2천만원,4
ynat-v1_train_00098,LG전자 휴대전화 국내 생산 중단…베트남으로 거점 이동종합,1
ynat-v1_train_00099,NHN엔터 3분기 영업익 295%↑…페이코 지속 성장종합,1
