guid,title,label
ynat-v1_train_00401,홍남기 부총리 출입기자단과 간담회,6
ynat-v1_train_00401,홍남기 길 부총리 출입기자단과 간담회,6
ynat-v1_train_00401,홍남기 심장 부총리 출입기자단과 간담회,6
ynat-v1_train_00401,홍남기부총리 출입기자단과 간담회,6
ynat-v1_train_00401,홍남기 학회 부총리 출입기자단과 간담회,6
ynat-v1_train_00492,대구 예비후보 의정보고회 금지 가처분 신청,6
ynat-v1_train_00492,대구 예비후보 의정서류회 금지 가처분 신청,6
ynat-v1_train_00492,대구 예비후보 의정보고동아리 금지 가처분 신청,6
ynat-v1_train_00492,대구 의정후보 예비보고회 금지 가처분 신청,6
ynat-v1_train_00492,복선 대구 예비후보 의정보고회 금지 가처분 신청,6
ynat-v1_train_00804,박상기 법무부 장관 후보자 인사청문회 13일 실시,6
ynat-v1_train_00804,박상기 법무부 장관 후보자 당 인사청문회 13일 실시,6
ynat-v1_train_00804,장관 법무부 박상기 후보자 인사청문회 13일 실시,6
ynat-v1_train_00804,박상기 법무부 장관 후보자 관리자 인사청문회 13일 실시,6
ynat-v1_train_00804,박상기 법무부 장관 후보자 인사청문회 13일,6
ynat-v1_train_00903,새누리당 20대 국회 첫 정책워크숍 10일 개최,6
ynat-v1_train_00903,새누리당 20 국회 첫 정책워크숍 10일 개최,6
ynat-v1_train_00903,새누리당 20연대 국회 첫 정책워크숍 10일 개최,6
ynat-v1_train_00903,새누리당 20 국회 정책워크숍 10일 개최,6
ynat-v1_train_00903,새누리당 20대 국회 첫 정책워크숍 10일 개최,6
ynat-v1_train_01656,유니콘기업 육성 창업지원 인프라 선행돼야,2
ynat-v1_train_01656,유니콘사단법인 육성 창업지원 인프라 선행돼야,2
ynat-v1_train_01656,회사 유니콘기업 육성 창업지원 인프라 선행돼야,2
ynat-v1_train_01656,유니콘기업 육성 창업지원 인프라 양육 선행돼야,2
ynat-v1_train_01656,유니콘법인 육성 창업지원 인프라 선행돼야,2
ynat-v1_train_01787,트럼프 북미정상회담 예정대로 싱가포르에서 열릴 수도,4
ynat-v1_train_01787,트럼프 북미정상회담 스케줄대로 싱가포르에서 열릴 수도,4
ynat-v1_train_01787,트럼프 북미정상회담 도랑 예정대로 싱가포르에서 열릴 수도,4
ynat-v1_train_01787,트럼프 북미정상회담 일정대로 싱가포르에서 열릴 수도,4
ynat-v1_train_01787,트럼프 북미정상회담 예정대로 싱가포르에서 도랑 열릴 수도,4
ynat-v1_train_01906,입장 발표하는 안철수,6
ynat-v1_train_01906,입장 발표하는 안철수,6
ynat-v1_train_01906,안철수 발표하는 입장,6
ynat-v1_train_01906,위 발표하는 안철수,6
ynat-v1_train_01906,입장 하는발표안철수,6
ynat-v1_train_01909,난감한 클럽 합동단속 점검팀,2
ynat-v1_train_01909,난감한 클럽 합동팀 점검단속,2
ynat-v1_train_01909,난감한 클럽 합동단속 점검팀,2
ynat-v1_train_01909,난감한 클럽 합동관리 점검팀,2
ynat-v1_train_01909,난감한 클럽 합동단속팀점검,2
ynat-v1_train_01917,이주의 뉴스키워드 다스 법인카드 개헌안,2
ynat-v1_train_01917,이주법인 뉴스키워드 다스 의카드 개헌안,2
ynat-v1_train_01917,이주의 뉴스키워드 다스 은근 법인카드 개헌안,2
ynat-v1_train_01917,이주의 뉴스키워드 다스 법인카드,2
ynat-v1_train_01917,이주의 뉴스키워드 소식 다스 법인카드 개헌안,2
ynat-v1_train_01956,정운천 전북 제 3 금융중심지 신속 추진,1
ynat-v1_train_01956,정운천 전북중심지제 3 금융 신속 추진,1
ynat-v1_train_01956,정운천 전북 제 3 경제 금융중심지 신속 추진,1
ynat-v1_train_01956,정운천 전북 제 3 금융중심지 신속 추진,1
ynat-v1_train_01956,정운천 3 제 전북 금융중심지 신속 추진,1
ynat-v1_train_01967,발레리나 김주원 세종문화회관서 탱고발레 공연,3
ynat-v1_train_01967,발레리나 김주원 세종회관서 탱고발레 공연,3
ynat-v1_train_01967,발레리나 김주원 문화세종회관서 탱고발레 공연,3
ynat-v1_train_01967,발레리나 김주원 세종문화회관서 탱고발레 상연,3
ynat-v1_train_01967,발레리나 김주원 세종문화회관서 공연발레 탱고,3
ynat-v1_train_02000,거래소 고속도로 주유소 석유시장 참여 MOU,2
ynat-v1_train_02000,거래소 고속도로 주유소 석유시장 MOU 참여,2
ynat-v1_train_02000,거래소 고속도로 주유소 석유시장 참여 MOU,2
ynat-v1_train_02000,거래소 고속도로 주유소 원유시장 참여 MOU,2
ynat-v1_train_02000,거래소 고속도로 주유소 석유시장 바자 참여 MOU,2
ynat-v1_train_02046,용산공원에 묻다 토론회,2
ynat-v1_train_02046,용산에 묻다 토론회,2
ynat-v1_train_02046,용산공원에 묻다 직공 토론회,2
ynat-v1_train_02046,용산직공에 묻다 토론회,2
ynat-v1_train_02046,용산공원 고공 에 묻다 토론회,2
