text,label
붙이고 나서 샤워후 한쪽이 바로 떨어졌네요...,0
가격 저렴한만큼 그만큼하는 상품이네요~그래도 한동안 머리끈걱정은 없겠어요,0
쓸만하네요 잘쓸게요~,1
신선하고 껍질 깨진것도 많이 없는데 양이 적은거 같아요,1
한달에 생수 사먹으면 돈이 너무들어 브리타 애용하고있습니다.이번에 살때 저렴하게 잘샀고 저는 다 괜찮은거같아서 잘쓰고있습니다.,1
재구매의사 100프로입니다 ㅎ,1
너무 예뻐요~^^ 불빛도 되게 환해요ㅎㅎ,1
상품좋아요 쓰기편해요 추천,0
늘 거의 매달 구매하는 제품인듯 해요. 다른 마스크팩은 피부가 민감해서..이걸 쓰면 얼굴에 난게 확 가라앉지는 않지만 진정되는건 확실히 느껴져서 정말 심한 날에 쓰고 있습니다.,1
부모님이 약간싱겁다하시네요,0
풀스톤할땨 쓰려구 구매했어용,1
상판이 최악..책상으로 쓰려고 삿는데 허술해서 원..,0
귀엽고 따뜻해보여서 정말 좋네요!!,1
재구매 여기서 쭉 먹이는데 매달 조금씩 가격이 오르네요 . 딴데를 찾아보던지해야겠어요. 기분이 별로~,0
애기 차량 커튼이 필요했는데 자석이라 붙이기도쉽고 암막기능 잘됩니다,1
고기가 질이 별로였어요. 맛은 그저 그랬네요,0
스몰사이지는 후기처럼 작았지만 넘이뻐요,1
잘 받았습니다. 만족스럽습니다.,1
"알라딘 매직행거 130개,바지걸이 주문했는데 그중 옷걸자마자 고리부분이 빠져버리는 불량 6개! 견고,튼튼한거 찾으시는분은 참고하세요",0
몇개 안올렸는데 우당탕 떨어졌어요... 생각보다 튼튼하진 않네요,0
그냥 그래요 별로에요,0
설치하기 편합니다~~~,1
정품 맞나요? 이어폰쓰고 전화하는데 상대방에게 지지직거리는 소리가 자꾸 들린다네요 정말 돈 아깝습니다,0
음 색은 이쁜데 생각보다 튼튼하진 않아요,0
그냥 그렇네요.샀으니까 씁니다.,0
슬림하게 깔끔한 디자인으로 맘에 쏙 들어요,1
배선 깔기가 힘들었지 잘되니 좋아요!,1
배송도 빠르고 피아노가 너무 좋아용,1
1주일 넘게 걸리는 배송입니다;;; 미국에서 주문한것 보다 늦게 그것도 엄청 늦게 배송사고난줄알았어요,0
배송비제대로 기입해주세여,0
매일매일 꾸준히 돌리고있는중인데 뱃살이조금씩빠지네요!옆구리도 탄탄하니 근육이 생겨서 대만족입니다 훌라후프최고예요!,1
저에게는 넘 커요 그리고 검은색이라 한번 빨았는데 먼지가 붙네요 그럭저럭 집에서 or 이너로 입어야 할 듯 ( 저는 44-55에요 free 사이즈 구매한 재 잘못이겠죠),0
한달만에 세탁하니 보풀 일어나고 아주 난리네요,0
장시간 펼치고 접을때 접히는부분이 탄성이 죽어서인지 제대로 안접히고 구겨지네요ㅠㅠ,0
편하고 부두럽고 좋아요,1
예쁜데 4살 꼬맹이가 한번하고 안하네요,0
