id,text,label,pred
227,곱창 냄새안나고 양념도 맛있고 양도 많네요 포장도 꼼꼼하구요~,1,1
301,아직 세제는 써보지 않았어요. 섬유유연제는 저에겐 향이 너무나도 진합니다. 100원짜리동전만큼 넣고 사용하고있습니다.,0,1
384,사진과 다른점없이 정확합니다. 다만 플라스틱이다보니 정전기가 잘일어서 고양이털이 들러붙어 지저분해지는건 어쩔수가없네요.,1,0
543,순정보다 확실히 밝아요 시인성 좋은거 같아요 포장도 꼼꼼이 잘해서 왔구요 배송도 빨랐어요,1,0
748,시중 오프라인에서 30만원에 판매되는 제품과 같거나 상위느낌이고 디자인도 깔끔합니다,1,0
821,밀웜 택배로 받아보니 폐사 일보 직전 입니다. 상태가 너무 않좋아요 30%는 죽은것 같아요,0,0
1002,"이것저것 사봤지만 이게 최고!! 친정 싱크 사이즈도 같아서 엄마도 쓰시라고 샀어요. 전에 쓰던 건 탈수 되는 스타일이였는데, 씻어서 관리가 잘 안되고, 이 디자인이 더 위생적이예요. 엄지척!",1,1
1305,"친구 추천 후기로 구매했는데 완전 만족해여.. 진짜 닭만 먹다가 닭될뻔했는데,,살아써여 ㅋㅋㅋ 잘먹을게여!",1,1
1356,흰색은 줄의색이 변하나봐요 깨끗한색은아니지만 충전은 잘되요,1,0
1555,사이즈 엄청 고민하고 주문했는데 살짝 아쉽네요..17사이즈가 딱이었을듯 한데 18은 크고 16은 딱 맞아요..여유가 없어서 자국이..제 손목 14정도인데..배송도 빠르고 좋은데 사이즈는 신중히 선택하셔야 할듯합니다..,0,0
1651,아주 유용합니다 하지만 off 일때도 전류가 조금씩흐릅니다. 컴퓨터가 깜빡 거립니다.,1,0
1656,아들 생일 영상 만들었는데 너무 감동 받고 좋네요^^영상 화질 느낌 모두 좋습니다~~번창하세요~~,1,1
1721,아기낳고사용한다생각하고 너무 정사이즈시켰네요^^ 한사이즈큰거추천드려요~,1,1
2067,좋은데 이게 불량인지 약간 번져있네요 뭐 묻은거같기도하고..,0,0
2308,너무약해요 같이주문한 120 버전은 힘도안주고 나사를 돌리는데 그냥 쪼개저 버리네요 내구성 진짜 꽝입니다,0,0
2444,자연친화적인 샴푸라서 한번 구매해서 사용했지만 저에게는 안맞네요,0,0
2453,재구매 추가 주문에도 친절히 대응해줘서 너무 좋았어요 주변에 홍보 많이 할게요~,1,1
2465,대용량 싸게 사서 온 가족이 나눠먹었어요ㅎㅎ 다음에 또 이용하겠습니다,1,1
2564,사진에서와같이 매듭정리가 잘안되어있어요 제가실밥을자른다고되는문제는 아닌거같네요 당장 휴가때신을려고 산거라 그냥 신어요......,0,0
2647,계속 흘러내리고 사이즈도 작아요. 흘러내리지만 않는다면 참 좋겠은데 계속 흘러내려서 이건 뭐....,0,0
2898,"반신반의했는데,마스크 부족해서 불안했던마음 이걸로시원하게 내렸어요!!",1,1
3089,냄새가 심하게 납니다요. 비닐뜯지도 않고 현관에 그대로 놔둠. 박스에서도 냄새가 많이남. 하나만살껄 후회중ㅠ 토퍼색깔은 그나마 괜찮음. 가격또한 내가 구매할땐 많이 저렴했음. 이따 날 밝으면 두개다 이불빨래하는곳에 맡길꺼임. 일단 빨아보고 ...,0,0
3149,진짜최고 사이즈도 정 사이즈로 발에 딱 맞고 진짜 하루도 빠짐없이 매일매일 신고 다닐만큼 너무 괜찮고 마음에 듭니다,1,1
3237,재구매 배송도 정말빠르고 특히 생물이다보니 포장을 신경쓰신게 느껴져요 꼼꼼하고 맘에 듭니다,1,0
3243,그냥 바닥 먼지 제거 용입니다 엄청난 흡입력 없습니다 가볍고 편리 합니다,0,0
3359,상품평이조아구매했는데~너무기대했나보내요 별로에요무거고 청소가깨끗하게되지않아요 먼지가 밀려다니는 느낌이네요,0,1
3401,코뻥에서 오일 샀다가 냄새때문에 못먹고 버리고 다시 산거라 오자마다 뚜껑 열어 한티스푼 맛보고 아주 흡족합니다,1,0
3676,"얼마 사용하지 않았을때부터 보풀이 생겼습니다. 그리고 홈쇼핑, 일반 쇼핑몰에서 똑같은 디자인인데 가격이 더 저렴한걸 발견했네요... 그래도 재질이 더 좋은거라 생각하려고 합니다. 한여름에 쓰기에는 조금 덥지만 올 여름 잘 지냈어요.",0,0
3695,평이 넘좋아서 가격대가 있음에도 믿고 구매했는데 며칠 만에 원래쓰던거로 다시 주문했어요 우선 받침대가 너무 부실한게 조그만 힘을 주면 고정이 안되고 계속 어긋나요,0,0
3794,베개가 높아 편백을 조금 꺼냈네요 편백향이 넘 좋아요 꺼낸편백은 주머니에 담아 옷진ㅇ안에 쏙~~,1,1
3806,일단 그냥 받아보긴했는데 왜 배송이 지연되는지 이유도 없이 배송지연 띡 통보하고.. 상품은 그냥 딱 가격만큼이거나 그보다 못한것같아요. 까슬까슬..실밥도 여기저기... 반품도 귀찮고... 까슬거리는거야 세탁좀하면 괜찮아지겠죠...,0,0
3826,아직 써보진 않았는데 집에 오자마자 간지럽지아 않네요 ㅋㅋ,1,1
4267,이게 잘 안맞아서 고무망치로 미친듯이 두드려도 안맞는게 몇개 있어요.. 제품 완성도가 떨어지네요ㅠ 한 네개는 버려야할듯 싶어요. 귀찮아서 그냥 씁니다,0,0
4415,평소 먹던 곡물바보다 달아서 그런지 잘 먹어요. 단맛이 강합니다.,1,0
4488,어제 받았는데 물건보낼때 검품 안하시나봐요 무슨 검정색 점들이 묻어있길래 지워봤는데 안지워집니다 . 받자마자 화가나고 반품 하려다가 귀찮아서 그냥 쓰는데요 ... 뭐 묻은 물건은 보내지 마세요 정말 기분 나쁩니다,0,0
4590,잘 맞추시는거 같긴해요 근데 무언가 시원한 대답은 아닌듯요,0,0
4715,이정도 제품이 이렇게 비싸다는게 이해가 안갑니다. 마감도 안좋고 재질도 별로예요. USB는 최악! 좋은점 하나는 선정리 깔끔하다는거. 경쟁업체가 없어서인지 가격 거품이 심하네요.,0,0
4766,부모님집 도배하면서 문도 너무 오래되서 페인트칠 하면서 문고리도 바꿨습니다! 문고리 하나 바꿨을 뿐인데 분위기가 다르네요 ㅎㅎ 배송도 빠르고 교체하기도 간편하네요! 빠르게 문 네개 다 교체완료 했습니다!,1,1
4854,선물해드렸는데 좋아하세요 밤에 부모님이 잠을 잘 못자셔서 선물해드렸는데 발열패드 뺄수도있고 넣을수도 있는게 맘에드네요,1,0
4912,아직 사용은 안해봤지만 좋을거 같아요~ 빠른 배송 감사합니다,1,1
4949,배송이 조금 늦었지만 에어컨커버는 만족스럽습니다~! 감사합니다~!,1,1
4973,오후 3시쯤에 가서 조용하고 한산하면서 깔끔하고 직원분들도 친절하고 좋았음! 운동후 반신욕? 물이 아닌 따듯한 열기가 후끈! 너무 좋아서 매일 운동 하고 싶음!,1,0
