guid,title,label
ynat-v1_train_00401,홍남기 부총리 출입기자단과 간담회,6
ynat-v1_train_00401,홍남기 부총리 출입기자단과 기자 토론회,6
ynat-v1_train_00401,채워남기 부총리 출입기자단과 간담회,6
ynat-v1_train_00492,대구 예비후보 의정보고회 금지 가처분 신청,6
ynat-v1_train_00492,대구광역시회 의정보고회 금지 가처분 신청,6
ynat-v1_train_00492,대구 예비후보자광고회 금지 가처분 신청,6
ynat-v1_train_00804,박상기 법무부 장관 후보자 인사청문회 13일 실시,6
ynat-v1_train_00804,박상기 법무부 장관료가 인사청문회 13일 실시,6
ynat-v1_train_00804,박상기 법무부 장관🍉 인사청문회 13일 실시,6
ynat-v1_train_00903,새누리당 20대 국회 첫 정책워크숍 10일 개최,6
ynat-v1_train_00903,새누리당 앞 국회 첫 정책워크숍회 개최,6
ynat-v1_train_00903,새누리당 20대 국회 첫 정책워크숍회 개최,6
ynat-v1_train_01656,유니콘기업 육성 창업지원 인프라 선행돼야,2
ynat-v1_train_01656,벤처기업 육성 창업지원 인프라 선행돼야,2
ynat-v1_train_01656,유니콘기업협회 청년 창업지원 인프라 선행돼야,2
ynat-v1_train_01787,트럼프 북미정상회담 예정대로 싱가포르에서 열릴 수도,4
ynat-v1_train_01787,트럼프 평양정상회담 예정대로 싱가포르에서 열릴 수도,4
ynat-v1_train_01787,남북 평양정상회담 예정대로 싱가포르에서 열릴 수도,4
ynat-v1_train_01906,입장 발표하는 안철수,6
ynat-v1_train_01906,국민 응원하는 안철수,6
ynat-v1_train_01906,입장━하는 안철수,6
ynat-v1_train_01909,난감한 클럽 합동단속 점검팀,2
ynat-v1_train_01909,난감한 클럽 합동팀 저러고 점검팀,2
ynat-v1_train_01909,난감한 남북 합동단속 점검본부,2
ynat-v1_train_01917,이주의 뉴스키워드 다스 법인카드 개헌안,2
ynat-v1_train_01917,트럼프의 뉴스키워드 다스 법인 측은 개헌안,2
ynat-v1_train_01917,이주의 뉴스키워드 다스 다스카드 개헌안,2
ynat-v1_train_01956,정운천 전북 제 3 금융중심지 신속 추진,1
ynat-v1_train_01956,정운천 전북 제 3 금융중심지 지정 추진,1
ynat-v1_train_01956,정운천 전북 제 3 금융중 반도지 신속 추진,1
ynat-v1_train_01967,발레리나 김주원 세종문화회관서 탱고발레 공연,3
