guid,title,label
ynat-v1_train_00401,홍남기 부총리 출입기자단과 간담회,6
ynat-v1_train_00401,홍남기 부총리 출입기자단 간담회입니다.,6
ynat-v1_train_00401,홍남기 부총리 출입기자단 간담회,6
ynat-v1_train_00492,대구 예비후보 의정보고회 금지 가처분 신청,6
ynat-v1_train_00492,대구 예비후보 의정보고회 금지 가처분 신청합니다,6
ynat-v1_train_00492,대구 예비후보자 의정보고회 금지 가처분 신청,6
ynat-v1_train_00804,박상기 법무부 장관 후보자 인사청문회 13일 실시,6
ynat-v1_train_00804,박상기 법무부 장관 후보자 13일 인사청문회,6
ynat-v1_train_00804,박상기 법무부 장관 후보자 인사청문회가 13일 열렸다,6
ynat-v1_train_00903,새누리당 20대 국회 첫 정책워크숍 10일 개최,6
ynat-v1_train_00903,새누리 20대 국회 첫 정책 워크숍 10일,6
ynat-v1_train_00903,새누리당 제20대 국회 첫 정책워크숍 10일 개최,6
ynat-v1_train_01656,유니콘기업 육성 창업지원 인프라 선행돼야,2
ynat-v1_train_01656,유니콘 기업 육성과 창업 지원 인프라가 선행돼야 한다,2
ynat-v1_train_01656,"유니콘기업 육성, 창업지원 인프라가 선행돼야",2
ynat-v1_train_01787,트럼프 북미정상회담 예정대로 싱가포르에서 열릴 수도,4
ynat-v1_train_01787,트럼프 북미 정상회담 예정대로 싱가포르서 열릴 수도,4
ynat-v1_train_01787,트럼프 북-미 정상회담 예정대로 싱가포르에서 열릴 가능성도 있습니다,4
ynat-v1_train_01906,입장 발표하는 안철수,6
ynat-v1_train_01906,입장 발표합니다 안철수,6
ynat-v1_train_01906,입장 표명한 안철수,6
ynat-v1_train_01909,난감한 클럽 합동단속 점검팀,2
ynat-v1_train_01909,어려운 클럽 합동단속반,2
ynat-v1_train_01909,난감한 클럽 합동단속점검팀입니다.,2
ynat-v1_train_01917,이주의 뉴스키워드 다스 법인카드 개헌안,2
ynat-v1_train_01917,새로운 키워드 Das 법인카드 이주자 수정법안,2
