guid,title,label
ynat-v1_train_13567,이란 혁명수비대 공격 자살폭탄범은 파키스탄인,4
ynat-v1_train_08647,박성제 MBC 신임 보도국장 임명동의안 통과,2
ynat-v1_train_21726,베트남 호찌민서도 보이콧 재팬,4
ynat-v1_train_15257,태평양서 2개월 넘게 표류한 콜롬비아 어부 구조,4
ynat-v1_train_31108,월드컵 2연속 풀타임 김영권 3전 전패 막을 것,5
ynat-v1_train_35744,동서 코스피 이사 추진 소식에 강세,1
ynat-v1_train_16094,선동열 감독 야구대표팀 선발 관련 4일 기자회견,5
ynat-v1_train_10754,이동하는 헝가리 유람선 사고 생존자 일행,4
ynat-v1_train_01731,관훈클럽 총무에 박정훈 조선일보 논설위원실장,2
ynat-v1_train_02627,북미정상회담 문대통령 회담결과 공표 직후 입장문 발표,6
ynat-v1_train_16057,여자농구 대표팀이 꼽은 단일팀 성공의 열쇠 의사소통과 시간,5
ynat-v1_train_42422,KBO 상벌위 류중일 감독 출전정지 징계 놓고 난상토론,5
ynat-v1_train_35165,2018 남북 정상회담 표어는 평화 새로운 시작,6
ynat-v1_train_43951,LGU 중저가 모델 갤럭시 J6 내일 단독 출시,0
ynat-v1_train_32599,정보통신산업진흥원 원장 후보 3배수 압축,2
ynat-v1_train_01960,네오위즈게임즈 리우올림픽 모바일 게임 전세계 출시,0
ynat-v1_train_04021,특징주 멜파스 중국 사업 기대감에 급등,1
ynat-v1_train_03676,문학교수들이 뽑은 올해의 문제소설 12편,3
ynat-v1_train_36334,황총리 안보위기 평화통일 전기되도록 할 것,6
ynat-v1_train_34028,삼성 글로벌 통신사와 손잡고 차세대 메시지 서비스,1
ynat-v1_train_11923,법정 출석하는 김어준,2
ynat-v1_train_40468,수도권 주택대출 심사 내일부터 깐깐해진다,1
ynat-v1_train_29211,예술의전당 신임사장에 유인택 동양예술극장 대표종합,2
ynat-v1_train_26414,게시판 IBK증권 투자자 초청 인천상륙작전 관람 행사,1
ynat-v1_train_38500,카메라뉴스 태안으로 봄철 별미 실치회 드시러 오세요,3
ynat-v1_train_26643,거래소 현진소재 개선계획 이행내역서 제출,2
ynat-v1_train_08504,이 콘텐츠 왜 나한테 뜨지 페이스북은 이유 알려준다,0
ynat-v1_train_33873,폭설 대란 제주공항 16일만에 또 무더기 결항 사태종합,2
ynat-v1_train_28900,허리 통증 파다르 대한항공과 챔프 1차전 선발 출격,5
ynat-v1_train_00194,탈북민 하나원 교육생들 취약계층에 봉사활동,2
ynat-v1_train_31292,라스베이거스서 한인 목숨 빼앗은 버스 운전자 혐의 부인,4
ynat-v1_train_33481,홍콩 시위사태 속 나는 중국인 아닌 홍콩인 유학생 글 논란,4
ynat-v1_train_13255,코스피 보합 마감,1
ynat-v1_train_12449,NBA 우승 후보 휴스턴 뉴올리언스에 19점 차 완패,5
